municipio,PIB
SAO JOSE DA BELA VISTA,21062.10
SAO JOSE DO BARREIRO,14804.20
SAO JOSE DO RIO PARDO,40729.55
SAO JOSE DO RIO PRETO,41735.23
SAO JOSE DOS CAMPOS,55087.30
SAO LOURENCO DA SERRA,17048.67
SAO LUIZ DO PARAITINGA,17994.94
SAO MANUEL,32512.23
SAO MIGUEL ARCANJO,29038.81
SAO PAULO,63081.76
SAO PEDRO,23897.55
SAO PEDRO DO TURVO,31899.26
SAO ROQUE,35548.97
SAO SEBASTIAO,39217.09
SAO SEBASTIAO DA GRAMA,27647.93
SAO SIMAO,31850.04
SAO VICENTE,16004.50
SARAPUI,18498.40
SARUTAIA,23509.80
SEBASTIANOPOLIS DO SUL,132463.09
SERRA AZUL,15383.34
SERRA NEGRA,27010.88
SERRANA,26636.91
SERTAOZINHO,54300.10
SETE BARRAS,27837.12
SEVERINIA,14774.37
SILVEIRAS,14440.22
SOCORRO,24797.74
SOROCABA,55764.84
SUD MENNUCCI,29319.49
SUMARE,48553.75
SUZANAPOLIS,75201.41
SUZANO,43555.45
TABAPUA,21906.91
TABATINGA,18638.53
TABOAO DA SERRA,31749.93
TACIBA,31527.46
TAGUAI,20684.57
TAIACU,16611.10
TAIUVA,18507.84
TAMBAU,26285.13
TANABI,48426.67
TAPIRAI,23815.06
TAPIRATIBA,20586.84
TAQUARAL,16172.86
TAQUARITINGA,31655.32
TAQUARITUBA,37958.93
TAQUARIVAI,58299.50
TARABAI,19678.13
TARUMA,57632.40
TATUI,36654.08
TAUBATE,48496.79
TEJUPA,25890.30
TEODORO SAMPAIO,25925.48
TERRA ROXA,17589.25
TIETE,47981.07
TIMBURI,22742.11
TORRE DE PEDRA,14625.46
TORRINHA,24229.48
TRABIJU,24443.22
TREMEMBE,17655.40
TRES FRONTEIRAS,19914.58
TUIUTI,28469.69
TUPA,32406.99
TUPI PAULISTA,21047.84
TURIUBA,28743.81
TURMALINA,37387.78
UBARANA,66299.12
UBATUBA,26965.14
UBIRAJARA,24924.56
UCHOA,36281.04
UNIAO PAULISTA,29169.15
URANIA,28656.59
URU,37160.55
URUPES,35155.92
VALENTIM GENTIL,31109.14
VALINHOS,55026.66
VALPARAISO,48237.14
VARGEM,14502.94
VARGEM GRANDE DO SUL,27310.99
VARGEM GRANDE PAULISTA,44765.73
VARZEA PAULISTA,26043.83
VERA CRUZ,19080.64
VINHEDO,134860.06
VIRADOURO,20272.54
VISTA ALEGRE DO ALTO,50437.02
VITORIA BRASIL,24171.39
VOTORANTIM,28586.67
VOTUPORANGA,36770.23
ZACARIAS,44155.19
,
,
,
,
,
